Gene,TSG.Training.Set,OG.Training.Set,Neutral.Genes,lincRNA
ENSG00000229388.1_10,0,0,0,0
ENSG00000270103.3_8,0,0,0,1
ENSG00000289291.1_1,0,0,0,0
ENSG00000226852.2,0,0,0,0
ENSG00000233427.1_10,0,0,0,0
ENSG00000225750.1_10,0,0,1,1
ENSG00000227637.1,0,0,0,0
ENSG00000237934.1_10,0,0,0,0
ENSG00000230523.1_8,0,0,1,1
ENSG00000228176.1_10,0,0,1,1
ENSG00000284676.1_6,0,0,1,1
ENSG00000233399.2_9,0,0,1,1
ENSG00000233372.1_8,0,0,1,1
ENSG00000236335.1_10,0,0,1,1
ENSG00000231949.1_8,0,0,1,1
ENSG00000186056.11_10,1,0,0,0
ENSG00000287510.1_3,0,0,0,0
ENSG00000229607.1_10,0,0,1,1
ENSG00000223382.6_11,0,0,0,1
ENSG00000235143.1_8,0,0,1,1
ENSG00000229044.1_10,0,0,0,0
ENSG00000284543.1_5,0,0,0,0
ENSG00000228682.2,0,0,1,1
ENSG00000229167.2_11,0,0,0,0
ENSG00000235790.7_13,0,0,0,0
ENSG00000264078.1_10,0,0,0,0
ENSG00000254545.1_8,0,0,0,0
ENSG00000203620.2_11,0,0,1,1
ENSG00000269967.1_11,0,0,0,0
ENSG00000228634.1_10,0,0,0,0
ENSG00000284702.1_8,0,0,1,1
ENSG00000203325.3_11,0,0,0,0
ENSG00000250135.1_11,0,0,0,0
ENSG00000224066.1_11,0,0,0,0
ENSG00000291132.1_2,0,0,0,0
ENSG00000290045.1_1,0,0,0,0
ENSG00000233775.1_11,0,0,1,1
ENSG00000224409.1_11,0,0,1,1
ENSG00000287691.1_3,0,0,0,0
ENSG00000278966.2_7,0,0,0,0
ENSG00000236065.2_9,0,0,0,0
ENSG00000278997.1_7,0,0,1,1
ENSG00000279179.1_7,0,0,0,0
ENSG00000284721.1_8,0,0,1,1
ENSG00000270115.1_10,0,0,0,0
ENSG00000225313.5_15,0,0,0,0
ENSG00000233246.1_8,0,0,0,0
ENSG00000231163.6_10,0,0,0,0
ENSG00000287703.1_5,0,0,1,1
ENSG00000255811.1_11,0,0,0,0
ENSG00000230163.1_8,0,0,0,0
ENSG00000284640.1_8,0,0,1,1
ENSG00000227409.1_9,0,0,0,0
ENSG00000239636.3_12,0,0,0,0
ENSG00000232335.1_8,0,0,0,0
ENSG00000286899.1_6,0,0,0,0
ENSG00000271914.1_9,0,0,0,0
ENSG00000271554.1_10,0,0,0,0
ENSG00000286379.1_5,0,0,1,1
ENSG00000284705.1_6,0,0,1,1
ENSG00000284720.1_8,0,0,1,1
ENSG00000234481.2_11,0,0,1,1
ENSG00000284650.1_6,0,0,1,1
ENSG00000223944.3_13,0,0,1,1
ENSG00000233621.3_14,0,0,0,1
ENSG00000284748.1_6,0,0,1,1
ENSG00000233728.1_10,0,0,0,0
ENSG00000230955.1_8,0,0,0,0
ENSG00000224592.5_8,0,0,1,1
ENSG00000284623.1_8,0,0,1,1
ENSG00000286552.1_3,0,0,1,1
ENSG00000287987.1_3,0,0,1,1
ENSG00000237290.2_9,0,0,0,1
ENSG00000238063.3_8,0,0,1,1
ENSG00000284632.1_9,0,0,1,1
ENSG00000273637.1_11,0,0,0,0
ENSG00000228436.4_13,0,0,0,0
ENSG00000287422.1_6,0,0,0,0
ENSG00000226438.1_10,0,0,0,0
ENSG00000291129.1_2,0,0,0,0
ENSG00000228060.3_11,0,0,0,0
ENSG00000225903.1_8,0,0,0,0
ENSG00000285905.1_4,0,0,0,0
ENSG00000261798.1_9,0,0,1,1
ENSG00000284719.3_9,0,0,1,1
ENSG00000284678.1_8,0,0,1,1
ENSG00000236546.1_8,0,0,0,0
ENSG00000259943.2_11,0,0,0,1
ENSG00000290111.1_1,0,0,0,0
ENSG00000284677.1_8,0,0,1,1
ENSG00000260920.2_10,0,0,1,1
ENSG00000279667.1_7,0,0,1,1
ENSG00000238287.1_11,0,0,0,0
ENSG00000227278.1_10,0,0,0,0
ENSG00000238186.1_10,0,0,0,0
ENSG00000286838.1_5,0,0,1,1
ENSG00000287743.1_3,0,0,0,0
ENSG00000237899.1_10,0,0,1,1
ENSG00000272145.2_8,0,0,0,0
ENSG00000229528.1_8,0,0,1,1
ENSG00000286668.1_3,0,0,1,1
ENSG00000281207.1_6,0,0,0,0
ENSG00000287400.1_4,0,0,0,0
ENSG00000235358.2_12,0,0,1,1
ENSG00000291157.1_1,0,0,1,1
ENSG00000229901.1_9,0,0,0,0
ENSG00000230881.1_8,0,0,0,0
ENSG00000287587.1_3,0,0,1,1
ENSG00000227527.2_12,0,0,0,0
ENSG00000285728.3_8,0,0,0,0
ENSG00000234917.2_10,0,0,1,1
ENSG00000228452.1_11,0,0,0,0
ENSG00000228192.10_13,0,0,0,0
ENSG00000288955.1_1,0,0,0,0
ENSG00000227533.7_11,1,0,0,1
ENSG00000283973.2_10,0,0,1,1
ENSG00000287113.1_5,0,0,0,0
ENSG00000234694.2_11,0,1,0,1
ENSG00000288772.2_2,0,0,1,1
ENSG00000229431.1_8,0,0,0,0
ENSG00000229372.1_9,0,0,0,0
ENSG00000229348.1_6,0,0,0,0
ENSG00000236200.7_11,0,0,0,0
ENSG00000229444.1_10,0,0,0,0
ENSG00000237950.1,0,0,0,1
ENSG00000285649.1_6,0,0,0,0
ENSG00000230615.8_18,0,0,0,0
ENSG00000233602.1_9,0,0,0,0
ENSG00000225721.5_10,0,0,0,0
ENSG00000290041.1_1,0,0,1,1
ENSG00000281912.1_4,0,0,0,0
ENSG00000289407.1_1,0,0,0,0
ENSG00000230896.1_11,0,0,0,0
ENSG00000226957.1_8,0,0,0,0
ENSG00000227857.2_8,0,0,0,0
ENSG00000291138.1_1,0,0,1,1
ENSG00000224863.3_10,0,0,0,1
ENSG00000269956.2_9,0,0,0,0
ENSG00000228237.5_7,0,0,0,0
ENSG00000290456.1_2,0,0,1,1
ENSG00000225506.2_10,0,0,0,0
ENSG00000224805.2_9,0,0,0,1
ENSG00000290081.1_1,0,0,1,1
ENSG00000226252.1_8,0,0,0,0
ENSG00000225762.1_10,0,0,0,0
ENSG00000237424.1_8,0,1,0,1
ENSG00000227947.2_8,0,0,1,1
ENSG00000223814.1_11,0,0,0,0
ENSG00000225028.1_8,0,0,0,0
ENSG00000226133.6_11,0,0,1,1
ENSG00000231413.1_11,0,0,1,1
ENSG00000290466.1_1,0,0,0,0
ENSG00000279096.2_7,0,0,0,0
ENSG00000291246.1_1,0,0,1,1
ENSG00000223720.2_10,0,0,1,1
ENSG00000272491.1_8,0,0,0,0
ENSG00000279214.1_7,0,0,1,1
ENSG00000287661.1_3,0,0,0,0
ENSG00000286597.1_3,0,0,0,0
ENSG00000229846.2_10,0,0,0,0
ENSG00000230114.1_8,0,0,0,0
ENSG00000225623.1_9,0,0,0,0
ENSG00000279324.1_7,0,0,0,0
ENSG00000237337.1_9,0,0,0,0
ENSG00000233407.1_10,0,0,1,1
ENSG00000284696.2_9,0,0,1,1
ENSG00000284645.1_7,0,0,1,1
ENSG00000284700.2_1,0,0,1,1
ENSG00000271782.1,0,0,0,0
ENSG00000225767.1_8,0,0,0,0
ENSG00000290102.1_1,0,0,0,0
ENSG00000203356.2_8,0,0,0,1
ENSG00000236434.2_11,0,0,0,0
ENSG00000261664.5_7,0,0,0,0
ENSG00000238140.1_9,0,0,0,0
ENSG00000227070.2_9,0,0,0,0
ENSG00000266993.3_17,0,0,0,0
ENSG00000272175.1_9,0,0,0,0
ENSG00000223390.1_8,0,0,0,0
ENSG00000228369.2_9,0,0,0,0
ENSG00000272100.1_8,0,0,0,0
ENSG00000287078.1_3,0,0,0,0
ENSG00000272371.1_8,0,0,1,1
ENSG00000242391.2_11,0,0,0,0
ENSG00000232993.1_11,0,0,0,0
ENSG00000235563.1_8,0,0,0,0
ENSG00000236723.2_15,0,0,0,0
ENSG00000259818.1_8,0,0,1,1
ENSG00000226754.3_14,0,0,0,0
ENSG00000270172.1,0,0,0,0
ENSG00000234578.1_8,0,0,0,0
ENSG00000228838.1_8,0,0,0,0
ENSG00000232762.1_8,0,0,0,0
ENSG00000225675.2_9,0,0,0,0
ENSG00000285954.1_5,0,0,1,1
ENSG00000226938.1_10,0,0,1,1
ENSG00000230138.2_11,0,0,1,1
ENSG00000272091.1,0,0,0,0
ENSG00000280378.1_3,0,0,0,0
ENSG00000280425.2_11,0,0,0,0
ENSG00000198711.5_8,0,0,0,0
ENSG00000225632.2_9,0,0,0,0
ENSG00000232245.1_8,0,0,1,1
ENSG00000287582.1_4,0,0,1,1
ENSG00000235741.1_10,0,0,1,1
ENSG00000230728.1_11,0,0,0,0
ENSG00000237453.1_10,0,0,0,0
ENSG00000287724.1_3,0,0,0,0
ENSG00000242396.2_9,0,0,0,0
ENSG00000233203.6_8,0,0,1,1
ENSG00000284601.1_9,0,0,1,1
ENSG00000233271.1_10,0,0,0,0
ENSG00000231090.2_10,0,0,0,1
ENSG00000234810.4_10,0,0,1,1
ENSG00000233079.3_8,0,0,1,1
ENSG00000230250.3_10,0,0,1,1
ENSG00000235612.1_10,0,0,1,1
ENSG00000260971.4_11,0,0,0,0
ENSG00000223956.5_10,0,0,0,0
ENSG00000229913.1_11,0,0,1,1
ENSG00000236341.1_9,0,0,0,0
ENSG00000227935.1_8,0,0,0,0
ENSG00000226759.8_15,0,0,0,0
ENSG00000290536.1_1,0,0,0,0
ENSG00000235038.1_8,0,0,0,0
ENSG00000286918.1_3,0,0,0,0
ENSG00000283445.1_8,0,0,1,1
ENSG00000290013.1_1,0,0,1,1
ENSG00000234807.8_10,0,0,0,1
ENSG00000272226.1_8,0,0,1,1
ENSG00000231740.1_10,0,0,1,1
ENSG00000232453.7_12,0,0,1,1
ENSG00000237352.6_11,0,0,0,1
ENSG00000241042.1_11,0,0,1,1
ENSG00000235215.2_11,0,0,1,1
ENSG00000224609.8_17,0,0,1,1
ENSG00000270457.1_8,0,0,1,1
ENSG00000226883.1_10,0,0,0,0
ENSG00000238242.2_10,0,0,1,1
ENSG00000226476.7_12,0,0,0,1
ENSG00000231252.4_12,0,0,0,0
ENSG00000237928.6_10,0,0,0,0
ENSG00000237853.6_13,0,0,0,0
ENSG00000284808.1_5,0,0,1,1
ENSG00000287224.1_5,0,0,1,1
ENSG00000271200.1_7,0,0,1,1
ENSG00000278967.1_7,0,0,0,0
ENSG00000235545.1_9,0,0,1,1
ENSG00000234318.1_8,0,0,1,1
ENSG00000229537.7_10,0,0,1,1
ENSG00000286455.1_3,0,0,1,1
ENSG00000227485.1_8,0,0,1,1
ENSG00000229225.1_10,0,0,1,1
ENSG00000203605.3_8,0,0,1,1
ENSG00000224209.8_10,0,1,0,1
ENSG00000228734.2_10,0,0,1,1
ENSG00000230798.7_11,1,1,0,0
ENSG00000286429.1_3,0,0,0,0
ENSG00000116652.6_7,0,0,0,0
ENSG00000223949.8_10,0,1,0,0
ENSG00000284928.1_5,0,0,1,1
ENSG00000226891.9_13,0,0,0,0
ENSG00000272506.1_9,0,0,0,0
ENSG00000231485.1,0,0,0,0
ENSG00000288804.1_1,0,0,1,1
ENSG00000229294.1_11,0,0,0,0
ENSG00000290094.1_1,0,0,0,0
ENSG00000237852.1_9,0,0,0,0
ENSG00000285079.1_5,0,0,1,1
ENSG00000227466.1_10,0,0,0,0
ENSG00000248458.2_10,0,0,0,0
ENSG00000231080.1_8,0,0,0,0
ENSG00000289394.1_1,0,0,0,0
ENSG00000275678.1_9,0,0,0,0
ENSG00000235200.5_10,0,0,1,1
ENSG00000232284.9_10,0,0,0,0
ENSG00000233589.1_8,0,0,0,0
ENSG00000234264.1_9,0,0,0,0
ENSG00000285041.1_5,0,0,1,1
ENSG00000285407.1_5,0,0,1,1
ENSG00000285473.1_5,0,0,1,1
ENSG00000223883.2_8,0,0,1,1
ENSG00000235446.2_11,0,0,1,1
ENSG00000229639.1_6,0,0,1,1
ENSG00000287453.1_3,0,0,1,1
ENSG00000287283.1_5,0,0,0,0
ENSG00000237919.5_9,0,0,0,0
ENSG00000228988.1_10,0,0,0,0
ENSG00000197568.15_10,0,0,0,1
ENSG00000226088.1_9,0,0,1,1
ENSG00000271992.1_9,0,0,1,1
ENSG00000229051.2_8,0,0,1,1
ENSG00000226208.1_10,0,0,1,1
ENSG00000235782.1_8,0,0,0,0
ENSG00000269933.1_9,0,0,0,0
ENSG00000235079.1_7,0,0,0,0
ENSG00000229956.11_15,0,0,0,0
ENSG00000231985.1_8,0,0,0,0
ENSG00000228853.1_9,0,0,0,0
ENSG00000286863.2_4,0,0,1,1
ENSG00000225087.2_11,0,0,1,1
ENSG00000227016.3_15,0,0,1,1
ENSG00000285808.1_4,0,0,1,1
ENSG00000280317.1_7,0,0,1,1
ENSG00000233973.7_8,0,0,1,1
ENSG00000223479.3_9,0,0,0,1
ENSG00000285778.2_7,0,0,1,1
ENSG00000237324.3_14,0,0,0,0
ENSG00000233894.1_9,0,0,0,0
ENSG00000234497.5_9,0,0,0,0
ENSG00000272864.1_8,0,0,1,1
ENSG00000229943.1_8,0,0,1,1
ENSG00000261213.1_8,0,0,1,1
ENSG00000224127.1_11,0,0,0,0
ENSG00000224149.1_11,0,0,0,0
ENSG00000225605.3_10,0,0,0,0
ENSG00000230027.2_10,0,0,1,1
ENSG00000272855.1_8,0,0,1,1
ENSG00000237552.1_11,0,0,1,1
ENSG00000288543.1_3,0,0,1,1
ENSG00000289212.1_1,0,0,1,1
ENSG00000287870.1_3,0,0,1,1
ENSG00000233099.1_11,0,0,0,0
ENSG00000287647.1_5,0,0,0,0
ENSG00000235927.4_9,0,0,0,0
ENSG00000273338.1_8,0,0,0,0
ENSG00000285928.1_6,0,0,0,0
ENSG00000237413.5_9,0,0,0,0
ENSG00000282898.1_10,0,0,1,1
ENSG00000235011.2_10,0,0,1,1
ENSG00000285462.1_5,0,0,1,1
ENSG00000288822.2_2,0,0,1,1
ENSG00000285409.1_7,0,0,1,1
ENSG00000260322.1_8,0,0,1,1
ENSG00000225598.1_10,0,0,1,1
ENSG00000224326.1_10,0,0,1,1
ENSG00000234184.8_10,0,0,1,1
ENSG00000285179.1_1,0,0,1,1
ENSG00000227960.1_10,0,0,0,0
ENSG00000234953.2_12,0,0,0,0
ENSG00000236676.1_11,0,0,0,0
ENSG00000233290.4_12,0,0,1,1
ENSG00000230817.6_8,0,0,0,1
ENSG00000236268.6_9,0,0,0,1
ENSG00000285782.2_7,0,0,1,1
ENSG00000231364.3_8,0,0,1,1
ENSG00000233008.8_11,0,0,1,1
ENSG00000237076.2_9,0,0,1,1
ENSG00000233061.1_9,0,0,0,0
ENSG00000285201.1_5,0,0,1,1
ENSG00000271576.2_9,0,0,0,1
ENSG00000285361.1_5,0,0,1,1
ENSG00000285851.1_8,0,0,0,0
ENSG00000284882.2_6,0,0,0,0
ENSG00000285374.1_5,0,0,1,1
ENSG00000289881.1_1,0,0,1,1
ENSG00000180869.4_8,0,1,0,1
